,Smiles,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,c1nc(NC2CCCC2)c2nc[nH]c2n1,203.24900000000002,1.7073999999999998,2.0,4.0,4.7447274948966935
1,c1nc(N2CCOCC2)c2nc[nH]c2n1,205.22100000000003,0.18950000000000006,1.0,5.0,4.7447274948966935
2,c1nc2cnc(NC3CCCCC3)nc2[nH]1,217.27599999999995,2.0974999999999997,2.0,4.0,4.508638306165727
3,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,587.7090000000001,6.281200000000006,2.0,9.0,6.274905478918531
4,COc1cc(Nc2ncc(Br)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)[C@@H](C)C1,507.4360000000003,4.864680000000005,1.0,7.0,7.187086643357144
5,CCOC(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,490.99500000000035,4.535180000000005,1.0,8.0,6.539102157243452
6,CN(c1cc(CO)ccc1Cl)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,522.0020000000004,3.5130000000000026,2.0,9.0,8.017728766960431
7,Cc1cnc(-c2cc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)ccc2N2CCN(C)CC2)o1,500.00600000000037,5.3219000000000065,1.0,8.0,6.196542884351586
8,COc1cc(C#N)cc(-c2nc(Nc3ccc(N4CCN(C)CC4)c(OC)c3)ncc2Cl)c1,464.9570000000002,4.181280000000003,1.0,8.0,6.3124710387853655
9,N[C@H]1CC[C@H](CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)CC1,327.4360000000001,2.7500999999999998,4.0,6.0,5.657577319177793
10,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,528.6540000000002,3.473320000000002,2.0,9.0,6.309803919971486
11,Cc1ccc(CO)cc1N(C)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,501.58400000000034,3.168020000000002,2.0,9.0,6.0655015487564325
12,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,604.7519999999998,5.043720000000004,2.0,9.0,8.823908740944319
13,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,604.7519999999998,5.043720000000004,2.0,9.0,6.638272163982407
14,Cc1ccc(CO)cc1N(C)c1nc(Nc2ccc(N3CCN(C)CC3)c(S(C)(=O)=O)c2)ncc1F,514.6270000000004,3.0832200000000016,2.0,9.0,6.0915149811213505
15,Cc1cc(C)c(N(C)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)cc1CO,450.5620000000002,3.9881400000000036,2.0,7.0,5.6777807052660805
16,Cc1ccc(N(C)c2nc(Nc3cc(N4CCOCC4)cc(S(C)(=O)=O)c3)ncc2F)cc1CO,501.5840000000003,3.1680200000000025,2.0,9.0,6.376750709602099
17,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1C[C@@H]2C[C@H]1CN2C,554.6920000000002,3.922640000000003,2.0,9.0,6.958607314841775
18,CN1CCN(C2=Nc3cc(F)ccc3N(C)c3ccc(Cl)cc32)CC1,358.8480000000001,3.8861000000000034,0.0,4.0,6.045757490560675
19,O=C(c1ccc(COc2ccccc2)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,512.0130000000003,5.814300000000005,2.0,6.0,8.522878745280337
20,COc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,401.4700000000002,3.5905000000000014,2.0,6.0,6.309803919971486
21,C[C@@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2n1,360.425,3.8701000000000008,4.0,6.0,6.164309428507575
22,O=C(c1ccc(Cl)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,405.88900000000024,4.235300000000001,2.0,5.0,6.585026652029182
23,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]cnc2c1,360.425,3.8701000000000016,4.0,6.0,6.55129368009492
24,Cc1[nH]nc2ccc(-c3cc(OC[C@@H](N)Cc4c[nH]c5ccccc45)cnc3-c3ccoc3)cc12,463.54100000000017,5.623420000000004,3.0,5.0,7.508638306165727
25,Cc1ccc(CO)cc1N(C)c1ccnc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)n1,483.59400000000034,3.028920000000001,2.0,9.0,5.508638306165727
26,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)cc(N2CCOCC2)c1,529.6380000000004,3.866540000000003,2.0,9.0,8.55284196865778
27,C[C@H](Nc1nccc(Nc2cc(C3CC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,359.437,4.475100000000002,4.0,5.0,6.920818753952375
28,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@@H]3CCNCC3(F)F)c2n1,510.9760000000003,4.7688200000000025,2.0,7.0,7.275724130399211
29,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)cc(N2CCOCC2)c1,529.6380000000004,3.866540000000003,2.0,9.0,6.568636235841013
30,Cc1ccc(CO)cc1N(C)c1nc(Nc2cc(N3CCOCC3)cc(S(C)(=O)=O)c2)ncc1F,501.58400000000034,3.168020000000002,2.0,9.0,7.853871964321762
31,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2-c2ncco2)CC1,485.97900000000027,5.013480000000005,1.0,8.0,5.847711655616943
32,CCN(CC)C(=O)c1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,518.0650000000003,4.840480000000003,1.0,7.0,5.396855627379818
33,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2C(=O)O)CC1,462.94100000000026,4.056680000000002,2.0,7.0,4.94692155651658
34,CN1CCN(C2=Nc3cc(F)ccc3Nc3ccc(F)cc32)CC1,328.3660000000001,3.347500000000001,1.0,4.0,4.267606240177032
35,CN1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,401.89700000000016,5.102200000000004,1.0,3.0,9.0
36,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3ccc(CCO)cc3Cl)c2c1,410.86100000000016,3.3912000000000013,2.0,6.0,6.853871964321762
37,Cc1cccc(Cl)c1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,419.9160000000002,4.543720000000003,2.0,5.0,7.055517327849832
38,O=S(=O)(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,441.94400000000024,3.837100000000002,2.0,6.0,5.200659450546418
39,CCCCCSc1ncnc2[nH]cnc12,222.31700000000004,2.6352,1.0,4.0,4.42021640338319
40,CC1CC(Nc2ncnc3[nH]cnc23)CC(C)(C)C1,259.357,2.9796000000000014,2.0,4.0,4.638272163982407
41,C[C@H](Nc1nccc(Nc2cc(C3CCC3)[nH]n2)n1)c1ccc2[nH]ccc2c1,373.46400000000006,4.865200000000002,4.0,5.0,6.876148359032914
42,CCN1c2ccc(F)cc2N=C(N[C@H]2CCN(C(=O)OC(C)(C)C)C2)c2cc(Cl)ccc21,458.9650000000002,5.627800000000006,1.0,5.0,6.721246399047171
43,CCn1c(=O)c(-c2ccc(Cl)cc2Cl)cc2cnc(Nc3ccc(N4CCNCC4)c(F)c3)nc21,513.4040000000002,5.077500000000004,2.0,7.0,8.080921907623926
44,COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1,406.4900000000001,2.5027,3.0,8.0,5.698970004336019
45,CCNc1nc2ccc(C#CC(C)(C)O)cc2n1-c1ncnc(N)n1,337.387,1.3468999999999995,3.0,8.0,5.017728766960431
46,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,228.247,2.9738000000000016,3.0,3.0,4.823908740944319
47,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,368.3850000000001,3.3699000000000026,2.0,6.0,4.795880017344075
48,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,350.46400000000006,6.203600000000003,2.0,4.0,6.0
49,Cc1cc(C)cc(NC(=N)Nc2ccccc2C(F)(F)F)c1,307.319,4.781010000000002,3.0,1.0,5.3979400086720375
50,Cc1ccc(CO)cc1N(C)c1nc(Nc2ccc(N3CCN(C)CC3)c(S(C)(=O)=O)c2)ncc1F,514.6270000000004,3.0832200000000016,2.0,9.0,8.060480747381382
51,Cc1ccccc1C(=O)N1CCC(Nc2ncnc3[nH]ncc23)CC1,336.39900000000006,2.3780200000000002,2.0,5.0,4.478731124401615
52,O=C(c1ccc(F)cc1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,340.3620000000001,2.2087000000000003,2.0,5.0,5.106793246940152
53,Cc1cccc(C)c1NC(=O)N1CCC(Nc2ncnc3[nH]ncc23)CC1,365.44100000000014,3.078140000000001,3.0,5.0,5.202732459169283
54,O=C(Nc1ccc(F)cc1F)N1CCC(Nc2ncnc3[nH]ncc23)CC1,373.3670000000001,2.7395000000000005,3.0,5.0,5.286509456906058
55,S=C(Nc1cccc(Cl)c1)N1CCC(Nc2ncnc3[nH]ncc23)CC1,387.9000000000001,3.2796000000000003,3.0,5.0,5.102922996790579
56,Cc1ccccc1C(=O)NC1CCN(c2ncnc3[nH]ncc23)CC1,336.39900000000006,2.06012,2.0,5.0,5.20342566678957
57,COc1ccc(C(=O)NC2CCN(c3ncnc4[nH]ncc34)CC2)cc1,352.3980000000001,1.7602999999999993,2.0,6.0,5.054531414868181
58,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccc(Br)cc1,401.2680000000001,2.5141999999999998,2.0,5.0,4.785156151952302
59,O=C(NC1CCN(c2ncnc3[nH]ncc23)CC1)c1ccccc1Cl,356.8170000000001,2.4051,2.0,5.0,5.280668713016273
60,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NC5CCN(C)CC5)n[nH]c4c3)c(Cl)c2)c1=O,475.9800000000003,4.166620000000003,2.0,5.0,6.844663962534939
61,CN(Cc1ccc2[nH]cnc2c1Cl)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,394.8700000000001,3.9868000000000006,3.0,6.0,6.958607314841775
62,CNC(=O)c1n[nH]c2cc(-c3ccc(-n4cccc(C)c4=O)cc3Cl)ccc12,392.8460000000002,3.7022200000000023,2.0,4.0,7.795880017344075
63,O=C(c1ccccc1F)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,389.4340000000002,3.721000000000002,2.0,5.0,6.920818753952375
64,CCn1c(=O)c(-c2ccc(-c3cncs3)cc2Cl)cc2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc21,558.1110000000002,5.7507000000000055,1.0,9.0,8.113509274827518
65,CN1CCN(C2=Nc3cc(F)ccc3N(C)c3ccc(Cl)cc32)CC1,358.8480000000001,3.8861000000000034,0.0,4.0,5.045757490560675
66,CC(CO)N(Cc1cc(F)cc2[nH]ncc12)c1nccc(Nc2cc(C3CC3)[nH]n2)n1,422.46800000000013,3.2235000000000005,4.0,7.0,7.149966742310231
67,C[C@H](Nc1nccc(Nc2cc(C3CC3(F)F)[nH]n2)n1)c1ccc2[nH]cnc2c1,396.40500000000003,4.115300000000001,4.0,6.0,6.61261017366127
68,CC(Sc1ncnc2[nH]cnc12)c1ccccc1Cl,290.779,3.859600000000002,1.0,4.0,4.638272163982407
69,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2F)CC1,436.9220000000002,4.497580000000004,1.0,6.0,6.261219441515631
70,COc1cc(Nc2ncc(Cl)c(-c3cc(Cl)cc(CC#N)c3)n2)ccc1N1CCN(C)CC1,483.40300000000036,5.020480000000005,1.0,7.0,6.987162775294828
71,CCn1c(Nc2ccc(N3CCN(C)CC3)cc2)ncc(-c2ccc(-c3cncs3)cc2Cl)c1=O,507.06300000000016,5.202500000000005,1.0,8.0,8.55284196865778
72,COc1nn(C)cc1-c1cnc2[nH]cc(C(=O)c3cc(CCO)ccc3Cl)c2c1,410.86100000000016,3.3912000000000013,2.0,6.0,8.236572006437063
73,CS(=O)(=O)c1ccc(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c(Cl)c1,483.9810000000002,3.6388000000000025,2.0,7.0,6.356547323513812
74,O=C(c1ccccc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,371.4440000000002,3.581900000000002,2.0,5.0,6.3979400086720375
75,CCN(c1cc(CO)ccc1C)c1nc(Nc2ccc(N3CCN(C)CC3)c(S(=O)(=O)CC)c2)ncc1F,542.6810000000004,3.863420000000003,2.0,9.0,8.698970004336019
76,COc1cc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)cc(OC)c1OC,467.5220000000004,2.865900000000001,2.0,7.0,4.617802789622546
77,COc1cc(/C=C2/C(=O)Nc3ccc(NC(=O)CCN4CCOCC4)cc32)ccc1O,423.4690000000003,2.554300000000001,3.0,6.0,4.96738123914928
78,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCC5CCN(C)CC5)n[nH]c4c3)c(Cl)c2)c1=O,490.00700000000023,4.414220000000003,2.0,5.0,7.657577319177793
79,Cc1cccn(-c2ccc(-c3ccc4c(C(=O)NCc5ccccc5)n[nH]c4c3)c(Cl)c2)c1=O,468.94400000000013,5.272620000000004,2.0,4.0,7.036212172654444
80,CNC(=O)c1n[nH]c2cc(-c3ccccc3Cl)ccc12,285.73400000000004,3.2429000000000014,2.0,2.0,5.301029995663981
81,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,406.39300000000003,3.150400000000001,1.0,7.0,5.207608310501746
82,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1CCN(C)CC1,542.6810000000002,3.7817400000000028,2.0,9.0,9.346787486224656
83,CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1,479.93400000000014,5.055900000000005,2.0,4.0,8.2839966563652
84,COc1cc(Nc2ncc(Cl)c(-c3cccc(C(=O)NCC#N)c3)n2)ccc1N1CCN(C)CC1,491.98300000000035,3.554380000000002,2.0,8.0,5.669586226650809
85,COCCOc1cc(Nc2ncc(Cl)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)CC1,493.01100000000037,4.383680000000003,1.0,8.0,5.540607512240769
86,O=C(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,405.8890000000002,4.235300000000002,2.0,5.0,6.060480747381382
87,CN1Cc2ccc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)cc2C1,387.8700000000001,5.059700000000004,1.0,3.0,5.958607314841775
88,CC(=O)N1CCc2cc(-c3cnc4[nH]cc(C(=O)c5ccccc5Cl)c4c3)ccc2C1,429.90700000000015,5.018900000000005,1.0,3.0,5.886056647693163
89,Clc1c(CNc2nccc(Nc3cc(C4CC4)[nH]n3)n2)ccc2[nH]cnc12,380.843,3.9625000000000004,4.0,6.0,6.441291429466834
90,Clc1ccccc1Cc1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,391.9060000000002,4.595100000000002,2.0,4.0,7.080921907623926
91,Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12,350.46400000000006,6.203600000000003,2.0,4.0,5.6020599913279625
92,COCCNc1nc2ccc(C#CC3(O)CCCCC3)cc2n1-c1ccnc(N)n1,406.4900000000001,2.5027,3.0,8.0,5.266000713461613
93,O=C(c1ccc(Cl)cc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,440.3340000000003,4.888700000000004,2.0,5.0,8.1249387366083
94,CC(=O)N1CCC(n2cc(-c3cnc4[nH]cc(C(=O)c5ccc(CO)cc5Cl)c4c3)cn2)CC1,477.95200000000034,3.986500000000002,2.0,6.0,7.259637310505756
95,N#Cc1ccc(Cl)c(C(=O)c2c[nH]c3ncc(-c4cnn(C5CCNCC5)c4)cc23)c1,430.8990000000002,4.106980000000002,2.0,6.0,6.187086643357144
96,N#Cc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,396.4540000000002,3.4535800000000014,2.0,6.0,6.130768280269024
97,O=C(c1ccccc1Cl)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,405.8890000000002,4.235300000000002,2.0,5.0,7.7447274948966935
98,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,425.89200000000005,3.664520000000002,2.0,6.0,5.6777807052660805
99,O=C(c1ccc(COc2ccccc2)cc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,477.5680000000003,5.160900000000003,2.0,6.0,7.075720713938118
100,Cc1ccccc1C(=O)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,385.47100000000023,3.8903200000000027,2.0,5.0,7.200659450546418
101,COc1cc(Nc2ncc(Br)c(-c3cccc(CC#N)c3)n2)ccc1N1CCN(C)[C@H](C)C1,507.4360000000003,4.864680000000005,1.0,7.0,7.142667503568731
102,CN1CCN(c2ccc(Nc3ncc(Cl)c(-c4cccc(CC#N)c4)n3)cc2O)CC1,434.9310000000002,4.064080000000002,2.0,7.0,6.17134010346468
103,COc1cc(Nc2ncc(Cl)c(-c3cccc(NC(C)=O)c3)n2)ccc1N1CCN(C)CC1,466.9730000000003,4.259400000000004,2.0,7.0,5.330683119433888
104,COc1cc(Nc2ncc(Cl)c(-c3cc(F)cc(CC#N)c3)n2)ccc1N1CCN(C)CC1,466.9480000000003,4.506180000000005,1.0,7.0,7.008773924307505
105,CNc1ncc2cc(-c3ccc(-c4cccc(C)n4)cc3Cl)c(=O)n(C[C@H]3OC[C@H](NC)CO3)c2n1,506.9940000000003,3.4849200000000007,2.0,9.0,7.2441251443275085
106,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(Cc3ccccc3F)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,622.7419999999997,5.182820000000006,2.0,9.0,9.455931955649724
107,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)c(C)cc3C)n2)ccc1N1C[C@@H]2C[C@H]1CN2C,554.6920000000002,3.922640000000003,2.0,9.0,9.236572006437063
108,CCS(=O)(=O)c1cc(Nc2ncc(F)c(N(C)c3cc(CO)ccc3C)n2)ccc1N1CCN(C)CC1,528.6540000000002,3.473320000000002,2.0,9.0,8.67778070526608
109,Cc1cc(C)c(N(C)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)cc1CO,450.5620000000002,3.9881400000000036,2.0,7.0,7.481486060122112
110,COc1cc(Nc2ncc(Cl)c(-c3cccc(C(=O)O)c3)n2)ccc1N1CCN(C)CC1,453.9300000000003,3.9992000000000028,2.0,7.0,5.283162276700476
